,colummn
1268,go
1269,alice
1270,took
1271,fan
1272,gloves
1273,kept
1274,fanning
1275,time
1276,went
1277,talking
1278,dear
1279,dear
1280,queer
1281,everything
1282,day
1283,yesterday
1284,things
1285,went
1286,usual
1287,got
1288,morning
1289,next
1290,question
1291,world
1292,ah
1293,great
1294,puzzle
1295,said
1296,looked
1297,hands
1298,surprised
1299,see
1300,put
1301,one
1302,rabbit
1303,little
1304,white
1305,kid
1306,gloves
1307,talking
1308,done
1309,thought
1310,must
1311,growing
1312,small
1313,got
1314,went
1315,table
1316,measure
1317,found
1318,two
1319,feet
1320,high
1321,going
1322,pg
1323,11
1324,shrinking
1325,rapidly
1326,soon
1327,found
1328,cause
1329,fan
1330,holding
1331,dropped
1332,hastily
1333,time
1334,save
1335,shrinking
1336,away
1337,altogether
1338,narrow
1339,escape
1340,said
1341,alice
1342,good
1343,deal
1344,frightened
1345,sudden
1346,change
1347,glad
1348,find
1349,still
1350,existence
1351,garden
1352,ran
1353,speed
1354,back
1355,little
1356,door
1357,alas
1358,little
1359,door
1360,shut
1361,little
1362,golden
1363,key
1364,lying
1365,glass
1366,table
1367,things
1368,worse
1369,ever
1370,thought
1371,poor
1372,child
1373,never
1374,small
1375,never
1376,said
1377,words
1378,foot
1379,slipped
1380,another
1381,moment
1382,splash
1383,chin
1384,salt
1385,water
1386,first
1387,idea
1388,somehow
1389,fallen
1390,sea
1391,however
1392,soon
1393,made
1394,pool
1395,tears
1396,wept
1397,nine
1398,feet
1399,high
1400,heard
1401,something
1402,splashing
1403,pool
1404,little
1405,way
1406,swam
1407,nearer
1408,see
1409,soon
1410,made
1411,mouse
1412,slipped
1413,like
1414,pg
1415,12
1416,would
1417,use
1418,thought
1419,alice
1420,speak
1421,mouse
1422,everything
1423,way
1424,think
1425,likely
1426,talk
1427,rate
1428,harm
1429,trying
1430,began
1431,mouse
1432,know
1433,way
1434,pool
1435,tired
1436,swimming
1437,mouse
1438,mouse
1439,looked
1440,rather
1441,inquisitively
1442,seemed
1443,wink
